2theta,intensity,,,,
30.28,341.667,,,,
30.32,270.833,,,,
30.36,350,,,,
30.4,341.667,,,,
30.44,375,,,,
30.48,300,,,,
30.52,306.25,,,,
30.56,318.75,,,,
30.6,291.667,,,,
30.64,325,,,,
30.68,329.167,,,,
30.72,304.167,,,,
30.76,329.167,,,,
30.8,412.5,,,,
30.84,350,,,,
30.88,320.833,,,,
30.92,289.583,,,,
30.96,308.333,,,,
31,381.25,,,,
31.04,400,,,,
31.08,331.25,,,,
31.12,402.083,,,,
31.16,502.083,,,,
31.2,585.417,,,,
31.24,735.417,,,,
31.28,785.417,,,,
31.32,852.083,,,,
31.36,866.667,,,,
31.4,706.25,,,,
31.44,664.583,,,,
31.48,627.083,,,,
31.52,539.583,,,,
31.56,443.75,,,,
31.6,510.417,,,,
31.64,483.333,,,,
31.68,393.75,,,,
31.72,439.583,,,,
31.76,387.5,,,,
31.8,414.583,,,,
31.84,400,,,,
31.88,414.583,,,,
31.92,385.417,,,,
31.96,368.75,,,,
32,358.333,,,,
32.04,360.417,,,,
32.08,335.417,,,,
32.12,335.417,,,,
32.16,347.917,,,,
32.2,427.083,,,,
32.24,377.083,,,,
32.28,377.083,,,,
32.32,297.917,,,,
32.36,337.5,,,,
32.4,379.167,,,,
32.44,368.75,,,,
32.48,360.417,,,,
32.52,377.083,,,,
32.56,318.75,,,,
32.6,339.583,,,,
32.64,306.25,,,,
32.68,333.333,,,,
32.72,329.167,,,,
32.76,331.25,,,,
32.8,320.833,,,,
32.84,322.917,,,,
32.88,337.5,,,,
32.92,362.5,,,,
32.96,360.417,,,,
33,352.083,,,,
33.04,402.083,,,,
33.08,366.667,,,,
33.12,370.833,,,,
33.16,379.167,,,,
33.2,370.833,,,,
33.24,427.083,,,,
33.28,347.917,,,,
33.32,360.417,,,,
33.36,345.833,,,,
33.4,393.75,,,,
33.44,431.25,,,,
33.48,441.667,,,,
33.52,447.917,,,,
33.56,508.333,,,,
33.6,477.083,,,,
33.64,539.583,,,,
33.68,579.167,,,,
33.72,639.583,,,,
33.76,666.667,,,,
33.8,760.417,,,,
33.84,727.083,,,,
33.88,693.75,,,,
33.92,625,,,,
33.96,587.5,,,,
34,550,,,,
34.04,545.833,,,,
34.08,500,,,,
34.12,450,,,,
34.16,377.083,,,,
34.2,489.583,,,,
34.24,395.833,,,,
34.28,360.417,,,,
34.32,387.5,,,,
34.36,316.667,,,,
34.4,354.167,,,,
34.44,354.167,,,,
34.48,308.333,,,,
34.52,356.25,,,,
34.56,325,,,,
34.6,312.5,,,,
34.64,285.417,,,,
34.68,297.917,,,,
34.72,262.5,,,,
34.76,295.833,,,,
34.8,308.333,,,,
34.84,295.833,,,,
34.88,304.167,,,,
34.92,325,,,,
34.96,268.75,,,,
35,256.25,,,,
35.04,252.083,,,,
35.08,275,,,,
35.12,245.833,,,,
35.16,264.583,,,,
35.2,283.333,,,,
35.24,308.333,,,,
35.28,287.5,,,,
35.32,262.5,,,,
35.36,229.167,,,,
35.4,252.083,,,,
35.44,227.083,,,,
35.48,300,,,,
35.52,258.333,,,,
35.56,225,,,,
35.6,220.833,,,,
35.64,204.167,,,,
35.68,256.25,,,,
35.72,281.25,,,,
35.76,239.583,,,,
35.8,264.583,,,,
35.84,231.25,,,,
35.88,222.917,,,,
35.92,275,,,,
35.96,258.333,,,,
36,239.583,,,,
36.04,239.583,,,,
36.08,293.75,,,,
36.12,293.75,,,,
36.16,235.417,,,,
36.2,237.5,,,,
36.24,200,,,,
36.28,237.5,,,,
36.32,231.25,,,,
36.36,241.667,,,,
36.4,266.667,,,,
36.44,237.5,,,,
36.48,214.583,,,,
36.52,260.417,,,,
36.56,256.25,,,,
36.6,191.667,,,,
36.64,270.833,,,,
36.68,252.083,,,,
36.72,277.083,,,,
36.76,243.75,,,,
36.8,289.583,,,,
36.84,279.167,,,,
36.88,304.167,,,,
36.92,233.333,,,,
36.96,266.667,,,,
37,260.417,,,,
37.04,260.417,,,,
37.08,279.167,,,,
37.12,285.417,,,,
37.16,262.5,,,,
37.2,302.083,,,,
37.24,316.667,,,,
37.28,266.667,,,,
37.32,314.583,,,,
37.36,320.833,,,,
37.4,331.25,,,,
37.44,285.417,,,,
37.48,408.333,,,,
37.52,381.25,,,,
37.56,412.5,,,,
37.6,468.75,,,,
37.64,560.417,,,,
37.68,622.917,,,,
37.72,762.5,,,,
37.76,952.083,,,,
37.8,1402.08,,,,
37.84,2131.25,,,,
37.88,3362.5,,,,
37.92,5525,,,,
37.96,7295.83,,,,
38,8189.58,,,,
38.04,7908.33,,,,
38.08,6522.92,,,,
38.12,5137.5,,,,
38.16,3462.5,,,,
38.2,2181.25,,,,
38.24,1310.42,,,,
38.28,968.75,,,,
38.32,785.417,,,,
38.36,610.417,,,,
38.4,506.25,,,,
38.44,439.583,,,,
38.48,437.5,,,,
38.52,306.25,,,,
38.56,347.917,,,,
38.6,347.917,,,,
38.64,268.75,,,,
38.68,258.333,,,,
38.72,262.5,,,,
38.76,233.333,,,,
38.8,275,,,,
38.84,241.667,,,,
