2theta,intensity,,,,
31.96,442.917,,,,
32,439.167,,,,
32.04,413.75,,,,
32.08,413.75,,,,
32.12,413.333,,,,
32.16,417.083,,,,
32.2,401.25,,,,
32.24,396.25,,,,
32.28,390.833,,,,
32.32,375.417,,,,
32.36,386.25,,,,
32.4,379.167,,,,
32.44,365.833,,,,
32.48,384.583,,,,
32.52,361.25,,,,
32.56,380.833,,,,
32.6,382.5,,,,
32.64,379.583,,,,
32.68,360,,,,
32.72,383.333,,,,
32.76,357.917,,,,
32.8,355.833,,,,
32.84,375.417,,,,
32.88,366.667,,,,
32.92,386.25,,,,
32.96,397.917,,,,
33,360.833,,,,
33.04,375.417,,,,
33.08,391.25,,,,
33.12,381.667,,,,
33.16,405.417,,,,
33.2,408.333,,,,
33.24,408.75,,,,
33.28,384.167,,,,
33.32,400,,,,
33.36,430,,,,
33.4,444.583,,,,
33.44,440.833,,,,
33.48,448.75,,,,
33.52,471.667,,,,
33.56,502.083,,,,
33.6,554.167,,,,
33.64,547.917,,,,
33.68,627.5,,,,
33.72,631.667,,,,
33.76,724.167,,,,
33.8,705.417,,,,
33.84,754.167,,,,
33.88,714.583,,,,
33.92,697.083,,,,
33.96,627.917,,,,
34,621.667,,,,
34.04,570,,,,
34.08,499.583,,,,
34.12,470,,,,
34.16,419.167,,,,
34.2,431.25,,,,
34.24,412.5,,,,
34.28,382.917,,,,
34.32,386.25,,,,
34.36,353.333,,,,
34.4,365.833,,,,
34.44,341.25,,,,
34.48,322.5,,,,
34.52,321.667,,,,
34.56,326.25,,,,
34.6,338.333,,,,
34.64,312.917,,,,
34.68,309.167,,,,
34.72,293.333,,,,
34.76,296.667,,,,
34.8,305.833,,,,
34.84,287.5,,,,
34.88,291.25,,,,
34.92,282.5,,,,
34.96,286.667,,,,
35,282.917,,,,
35.04,267.917,,,,
35.08,281.667,,,,
35.12,272.917,,,,
35.16,276.667,,,,
35.2,268.75,,,,
35.24,275.833,,,,
35.28,272.5,,,,
35.32,252.917,,,,
35.36,275.417,,,,
35.4,270.417,,,,
35.44,269.167,,,,
35.48,269.167,,,,
35.52,250,,,,
35.56,262.083,,,,
35.6,255,,,,
35.64,261.25,,,,
35.68,277.083,,,,
35.72,250.417,,,,
35.76,242.5,,,,
35.8,251.667,,,,
35.84,253.333,,,,
35.88,250.417,,,,
35.92,252.083,,,,
35.96,247.083,,,,
36,232.917,,,,
36.04,252.5,,,,
36.08,262.5,,,,
36.12,252.083,,,,
36.16,230.833,,,,
36.2,262.083,,,,
36.24,260,,,,
36.28,251.25,,,,
36.32,257.917,,,,
36.36,247.5,,,,
36.4,249.167,,,,
36.44,262.083,,,,
36.48,265.417,,,,
36.52,250.833,,,,
36.56,252.917,,,,
36.6,249.167,,,,
36.64,247.083,,,,
36.68,260,,,,
36.72,239.583,,,,
36.76,263.333,,,,
36.8,249.583,,,,
36.84,252.083,,,,
36.88,241.667,,,,
36.92,259.583,,,,
36.96,272.083,,,,
37,265.833,,,,
37.04,269.167,,,,
37.08,256.25,,,,
37.12,267.5,,,,
37.16,259.583,,,,
37.2,264.583,,,,
37.24,280,,,,
37.28,275.417,,,,
37.32,261.667,,,,
37.36,271.25,,,,
37.4,292.5,,,,
37.44,292.5,,,,
37.48,302.5,,,,
37.52,311.667,,,,
37.56,362.083,,,,
37.6,362.083,,,,
37.64,386.25,,,,
37.68,412.917,,,,
37.72,494.583,,,,
37.76,580,,,,
37.8,769.167,,,,
37.84,1070.42,,,,
37.88,1598.33,,,,
37.92,2249.17,,,,
37.96,3005,,,,
38,3195,,,,
38.04,3085.83,,,,
38.08,2509.17,,,,
38.12,1940,,,,
38.16,1389.17,,,,
38.2,959.167,,,,
38.24,687.5,,,,
38.28,550,,,,
38.32,451.25,,,,
38.36,403.75,,,,
38.4,330.417,,,,
38.44,333.75,,,,
38.48,299.167,,,,
38.52,290.417,,,,
38.56,275.417,,,,
38.6,260,,,,
38.64,275,,,,
38.68,262.083,,,,
38.72,243.333,,,,
38.76,249.583,,,,
38.8,231.25,,,,
38.84,227.917,,,,
38.88,231.25,,,,
38.92,228.75,,,,
38.96,225,,,,
39,217.917,,,,
39.04,224.167,,,,
39.08,248.333,,,,
39.12,212.5,,,,
39.16,219.583,,,,
39.2,226.667,,,,
39.24,236.667,,,,
39.28,250.417,,,,
39.32,238.333,,,,
39.36,216.25,,,,
39.4,232.917,,,,
39.44,206.25,,,,
39.48,235.417,,,,
39.52,233.333,,,,
39.56,204.167,,,,
39.6,212.5,,,,
39.64,222.083,,,,
39.68,205,,,,
39.72,218.75,,,,
39.76,208.333,,,,
39.8,217.917,,,,
39.84,230.417,,,,
39.88,201.25,,,,
39.92,216.25,,,,
39.96,211.25,,,,
40,218.333,,,,
40.04,233.333,,,,
40.08,208.333,,,,
40.12,208.333,,,,
40.16,237.917,,,,
40.2,224.167,,,,
40.24,224.583,,,,
40.28,232.5,,,,
40.32,213.75,,,,
40.36,213.75,,,,
40.4,216.667,,,,
40.44,221.25,,,,
40.48,207.5,,,,
40.52,244.167,,,,
40.56,223.75,,,,
40.6,240.417,,,,
40.64,200.833,,,,
40.68,229.167,,,,
40.72,212.083,,,,
40.76,201.667,,,,
40.8,215.833,,,,
40.84,214.583,,,,
40.88,231.25,,,,
40.92,228.333,,,,
40.96,225,,,,
41,212.917,,,,
41.04,231.667,,,,
41.08,232.917,,,,
41.12,214.583,,,,
41.16,217.917,,,,
41.2,207.917,,,,
41.24,230,,,,
41.28,226.25,,,,
41.32,224.583,,,,
41.36,212.5,,,,
41.4,213.333,,,,
41.44,233.333,,,,
41.48,228.333,,,,
41.52,212.083,,,,
41.56,249.583,,,,
41.6,232.083,,,,
41.64,237.5,,,,
41.68,225.417,,,,
41.72,221.25,,,,
41.76,228.333,,,,
41.8,219.583,,,,
41.84,225,,,,
41.88,227.083,,,,
41.92,221.667,,,,
41.96,229.167,,,,
42,244.167,,,,
42.04,240.833,,,,
42.08,242.5,,,,
42.12,240,,,,
42.16,245.417,,,,
42.2,232.5,,,,
42.24,240.417,,,,
42.28,245.833,,,,
42.32,222.5,,,,
42.36,221.667,,,,
42.4,225,,,,
42.44,239.583,,,,
42.48,226.25,,,,
42.52,240.833,,,,
42.56,234.167,,,,
42.6,231.667,,,,
42.64,225.833,,,,
42.68,243.75,,,,
42.72,230,,,,
42.76,235.833,,,,
42.8,227.917,,,,
42.84,223.75,,,,
42.88,236.667,,,,
42.92,230.417,,,,
42.96,240.833,,,,
43,237.083,,,,
