E step/V	I delta/uA	
5.2005446E-001	0.0000000E+000
5.2005446E-001	7.5691001E+003
5.2066523E-001	0.0000000E+000
5.2066523E-001	7.5793843E+003
5.2102792E-001	0.0000000E+000
5.2102792E-001	7.5900708E+003
5.2165776E-001	0.0000000E+000
5.2165776E-001	7.6009526E+003
5.2211589E-001	0.0000000E+000
5.2211589E-001	7.6113306E+003
5.2263123E-001	0.0000000E+000
5.2263123E-001	7.6247314E+003
5.2310842E-001	0.0000000E+000
5.2310842E-001	7.6350840E+003
5.2360469E-001	0.0000000E+000
5.2360469E-001	7.6511611E+003
5.2404368E-001	0.0000000E+000
5.2404368E-001	7.6617285E+003
5.2442545E-001	0.0000000E+000
5.2442545E-001	7.6711865E+003
5.2507442E-001	0.0000000E+000
5.2507442E-001	7.6823335E+003
5.2555162E-001	0.0000000E+000
5.2555162E-001	7.6919995E+003
5.2608603E-001	0.0000000E+000
5.2608603E-001	7.7040400E+003
5.2660137E-001	0.0000000E+000
5.2660137E-001	7.7152432E+003
5.2702129E-001	0.0000000E+000
5.2702129E-001	7.7264268E+003
5.2757484E-001	0.0000000E+000
5.2757484E-001	7.7382031E+003
5.2799475E-001	0.0000000E+000
5.2799475E-001	7.7469629E+003
5.2860558E-001	0.0000000E+000
5.2860558E-001	7.7590474E+003
5.2906364E-001	0.0000000E+000
5.2906364E-001	7.7702568E+003
5.2952176E-001	0.0000000E+000
5.2952176E-001	7.7815288E+003
5.2999896E-001	0.0000000E+000
5.2999896E-001	7.7925747E+003
5.3055245E-001	0.0000000E+000
5.3055245E-001	7.8028770E+003
5.3106785E-001	0.0000000E+000
5.3106785E-001	7.8152319E+003
5.3152591E-001	0.0000000E+000
5.3152591E-001	7.8259248E+003
5.3196496E-001	0.0000000E+000
5.3196496E-001	7.8353838E+003
5.3246123E-001	0.0000000E+000
5.3246123E-001	7.8473423E+003
5.3301471E-001	0.0000000E+000
5.3301471E-001	7.8584258E+003
5.3354919E-001	0.0000000E+000
5.3354919E-001	7.8699878E+003
5.3406453E-001	0.0000000E+000
5.3406453E-001	7.8818706E+003
5.3457987E-001	0.0000000E+000
5.3457987E-001	7.8915752E+003
5.3511435E-001	0.0000000E+000
5.3511435E-001	7.9056304E+003
5.3551519E-001	0.0000000E+000
5.3551519E-001	7.9166069E+003
5.3604960E-001	0.0000000E+000
5.3604960E-001	7.9279800E+003
5.3648865E-001	0.0000000E+000
5.3648865E-001	7.9389497E+003
5.3713757E-001	0.0000000E+000
5.3713757E-001	7.9487109E+003
5.3748119E-001	0.0000000E+000
5.3748119E-001	7.9598638E+003
5.3807288E-001	0.0000000E+000
5.3807288E-001	7.9720991E+003
5.3851187E-001	0.0000000E+000
5.3851187E-001	7.9829937E+003
5.3906542E-001	0.0000000E+000
