波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name
406,-0.005,0.006,0.006,0.009,0.023,0.027,0.029,0.036,0.037,0.039,0.041,0.011,0.017,0.004,0.002,0.007,0.001,0.002,0.002,0.005,0.008,,
407,0,0.007,0.009,0.017,0.027,0.03,0.034,0.037,0.044,0.046,0.048,0.009,0.018,0.003,0.004,0.003,0.007,0.002,0.002,0.011,0.007,,
408,0.005,0.006,0.011,0.016,0.029,0.032,0.038,0.037,0.043,0.043,0.046,0.006,0.018,0.003,0.006,-0.001,0.006,0,0.003,0.009,0.004,,
409,0.004,0.002,0.007,0.014,0.024,0.028,0.036,0.04,0.038,0.043,0.048,0.003,0.017,0.004,0.008,0.004,-0.002,0.005,0.005,0.008,0.012,,
410,0.001,0.007,0.006,0.013,0.021,0.028,0.034,0.041,0.042,0.04,0.047,0.005,0.015,0.007,0.006,0.007,0.001,-0.002,0.007,0.005,0.013,,
411,-0.003,0.001,0.008,0.017,0.026,0.031,0.037,0.038,0.04,0.044,0.047,0.011,0.018,0.005,0.006,0.001,0.002,0.004,0.003,0.009,0.007,,
412,0.005,0.007,0.009,0.019,0.024,0.034,0.035,0.042,0.04,0.048,0.048,0.004,0.015,0.01,0.001,0.007,-0.002,0.008,0,0.006,0.008,,
413,0.004,0.008,0.015,0.019,0.029,0.033,0.037,0.04,0.044,0.049,0.053,0.011,0.014,0.004,0.004,0.003,0.004,0.005,0.004,0.013,0.006,,
414,-0.002,0.005,0.012,0.017,0.024,0.03,0.035,0.038,0.041,0.044,0.047,0.014,0.012,0.006,0.005,0.003,0.003,0.003,0.003,0.01,0.008,,
415,0.005,0.008,0.011,0.018,0.03,0.033,0.038,0.042,0.048,0.049,0.052,0.006,0.019,0.003,0.005,0.004,0.006,0.001,0.003,0.01,0.009,,
416,0.002,0.007,0.019,0.018,0.028,0.033,0.042,0.044,0.044,0.05,0.049,0.017,0.009,0.005,0.009,0.002,0,0.006,-0.001,0.005,0.011,,
417,-0.006,0.002,0.003,0.012,0.023,0.03,0.033,0.037,0.04,0.042,0.047,0.009,0.02,0.007,0.003,0.004,0.003,0.002,0.005,0.01,0.007,,
418,0,0.002,0.006,0.018,0.023,0.029,0.034,0.038,0.041,0.044,0.049,0.006,0.017,0.006,0.005,0.004,0.003,0.003,0.005,0.012,0.009,,
419,0.001,0.009,0.011,0.019,0.026,0.03,0.038,0.039,0.041,0.049,0.048,0.01,0.015,0.004,0.008,0.001,0.002,0.008,-0.001,0.01,0.008,,
420,0.003,0.011,0.012,0.015,0.028,0.036,0.039,0.043,0.046,0.05,0.05,0.009,0.016,0.008,0.003,0.004,0.003,0.004,0,0.007,0.007,,
