2theta,intensity,,,,
30.84,292.5,,,,
30.88,283.333,,,,
30.92,284.167,,,,
30.96,297.5,,,,
31,297.917,,,,
31.04,299.583,,,,
31.08,335.417,,,,
31.12,395.417,,,,
31.16,481.667,,,,
31.2,616.25,,,,
31.24,829.583,,,,
31.28,938.75,,,,
31.32,942.5,,,,
31.36,877.083,,,,
31.4,753.333,,,,
31.44,666.25,,,,
31.48,608.75,,,,
31.52,549.583,,,,
31.56,491.25,,,,
31.6,472.083,,,,
31.64,465.833,,,,
31.68,435.417,,,,
31.72,402.083,,,,
31.76,390.417,,,,
31.8,381.25,,,,
31.84,370,,,,
31.88,388.75,,,,
31.92,360.417,,,,
31.96,351.25,,,,
32,322.083,,,,
32.04,330.417,,,,
32.08,333.333,,,,
32.12,322.083,,,,
32.16,327.5,,,,
32.2,319.167,,,,
32.24,296.25,,,,
32.28,312.5,,,,
32.32,315,,,,
32.36,324.583,,,,
32.4,320.833,,,,
32.44,277.083,,,,
32.48,284.167,,,,
32.52,282.917,,,,
32.56,320.417,,,,
32.6,291.25,,,,
32.64,293.333,,,,
32.68,300.417,,,,
32.72,288.333,,,,
32.76,302.917,,,,
32.8,298.75,,,,
32.84,313.75,,,,
32.88,298.333,,,,
32.92,294.583,,,,
32.96,292.5,,,,
33,312.5,,,,
33.04,301.25,,,,
33.08,303.333,,,,
33.12,302.083,,,,
33.16,290,,,,
33.2,321.25,,,,
33.24,320.417,,,,
33.28,330,,,,
33.32,335,,,,
33.36,322.917,,,,
33.4,351.25,,,,
33.44,364.583,,,,
33.48,370.833,,,,
33.52,353.333,,,,
33.56,407.083,,,,
33.6,417.083,,,,
33.64,441.667,,,,
33.68,469.167,,,,
33.72,518.75,,,,
33.76,547.917,,,,
33.8,561.25,,,,
33.84,580.417,,,,
33.88,548.333,,,,
33.92,539.167,,,,
33.96,493.333,,,,
34,460.417,,,,
34.04,409.167,,,,
34.08,392.917,,,,
34.12,355,,,,
34.16,358.333,,,,
34.2,330.417,,,,
34.24,316.25,,,,
34.28,312.083,,,,
34.32,309.167,,,,
34.36,275.417,,,,
34.4,289.167,,,,
34.44,282.5,,,,
34.48,248.333,,,,
34.52,260.833,,,,
34.56,272.083,,,,
34.6,252.083,,,,
34.64,258.75,,,,
34.68,256.25,,,,
34.72,245.833,,,,
34.76,233.75,,,,
34.8,225.417,,,,
34.84,242.5,,,,
34.88,227.5,,,,
34.92,228.75,,,,
34.96,238.75,,,,
35,235,,,,
35.04,235,,,,
35.08,221.667,,,,
35.12,221.25,,,,
35.16,232.5,,,,
35.2,226.667,,,,
35.24,243.75,,,,
35.28,217.917,,,,
35.32,225.417,,,,
35.36,239.583,,,,
35.4,230,,,,
35.44,228.75,,,,
35.48,223.75,,,,
35.52,243.75,,,,
35.56,246.667,,,,
35.6,244.583,,,,
35.64,244.583,,,,
35.68,252.083,,,,
35.72,249.167,,,,
35.76,242.917,,,,
35.8,234.167,,,,
35.84,238.333,,,,
35.88,237.5,,,,
35.92,237.5,,,,
35.96,226.667,,,,
36,237.083,,,,
36.04,214.583,,,,
36.08,237.5,,,,
36.12,218.333,,,,
36.16,222.5,,,,
36.2,235,,,,
36.24,239.167,,,,
